Date,SPY_AdjClose,SPY_Return,SPY_Vol_20d,QQQ_AdjClose,QQQ_Return,QQQ_Vol_20d,DIA_AdjClose,DIA_Return,DIA_Vol_20d,GLD_AdjClose,GLD_Return,GLD_Vol_20d,VIX_AdjClose,VIX_Return,VIX_Vol_20d,XLK_AdjClose,XLK_Return,XLK_Vol_20d,XLF_AdjClose,XLF_Return,XLF_Vol_20d,XLE_AdjClose,XLE_Return,XLE_Vol_20d,XLI_AdjClose,XLI_Return,XLI_Vol_20d,XLY_AdjClose,XLY_Return,XLY_Vol_20d,XLV_AdjClose,XLV_Return,XLV_Vol_20d,QQQ_to_SPY,DIA_to_SPY,XLK_to_SPY,XLF_to_SPY,XLE_to_SPY,XLI_to_SPY,XLY_to_SPY,XLV_to_SPY,GLD_to_SPY,Article_Sentiment,SPY_1wChange,QQQ_1wChange,DIA_1wChange,GLD_1wChange,VIX_1wChange,Bubble_Risk,Series_ID,predicted_Bubble_Risk,2007 model risk
8/18/2025,643.2999878,-0.021760327,0.675108839,577.1099854,-0.039845064,0.824369924,449.0499878,-0.106780635,0.712032586,306.9500122,-0.156126754,0.895159905,14.98999977,-0.662693045,7.652762274,266.269989,0.214518924,0.965315557,52.5,0.076250317,0.815596938,85.05000305,-0.596066528,0.900743946,151.0299988,0.392180489,0.779546117,229.9600067,0.401682437,1.053628143,135.8899994,-0.234936722,1.245667013,0.897108653,0.698041344,0.413912629,0.081610448,0.13220893,0.234773825,0.357469316,0.211238927,0.477149103,0.06627566,-0.129024888,-1.176548353,0.895227623,0.938255172,-1.334221563,,all_etfs,1.314338446,0.993118882
8/19/2025,639.8099976,-0.542513648,0.690841344,569.2800293,-1.356752829,0.877965484,449.2900085,0.053450787,0.709094477,305.269989,-0.547327945,0.86530618,15.56999969,3.869245714,7.70571374,261.6199951,-1.746345472,1.026664914,52.59999847,0.190473284,0.806942402,85.08000183,0.035271932,0.894088257,151.3600006,0.21850085,0.779250496,229.8500061,-0.04783467,1.034672298,136.7599945,0.64022012,1.187886642,0.889764198,0.702224114,0.408902637,0.082211905,0.132976981,0.236570234,0.359247287,0.21375095,0.477126006,0.220359848,0.83618193,0.58494166,1.157377549,2.230811349,-6.101476094,,all_etfs,1.22385776,0.998879075
8/20/2025,638.1099854,-0.26570579,0.670833921,565.9000244,-0.593733261,0.885315666,449.3599854,0.015574975,0.657709769,308.3599854,1.012217528,0.865353476,15.68999958,0.77071219,7.536644289,259.8500061,-0.676549594,1.031782351,52.86999893,0.51330887,0.794495427,85.79000092,0.834507604,0.83892328,151.2200012,-0.092494311,0.656992527,227.5800018,-0.987602442,1.058284807,137.5,0.541097925,1.104061999,0.886837751,0.704204597,0.40721821,0.082854054,0.134443909,0.236981092,0.356646984,0.215480095,0.483239555,0.161809269,1.335196083,1.341220267,1.484336311,1.410690852,-5.353723527,,all_etfs,1.302654982,0.993578911
8/21/2025,635.5499878,-0.401184375,0.677815827,563.2800293,-0.462978442,0.890539341,447.9500122,-0.313773631,0.642351238,307.2900085,-0.346989511,0.858431009,16.60000038,5.799877791,7.63336657,258.9100037,-0.361748093,1.02964211,52.70000076,-0.321539952,0.797364418,86.37999725,0.687721566,0.837663919,150.6799927,-0.35710127,0.659670405,226.2299957,-0.593200673,0.994073303,137.0399933,-0.334550337,1.1032928,0.886287531,0.704822627,0.407379449,0.082920308,0.135913774,0.237085982,0.355959405,0.215624256,0.483502501,0.270479798,2.10368899,2.449933794,1.973433664,2.518790074,-13.07228932,,all_etfs,1.314398408,0.980609417
8/22/2025,645.3099976,1.535679325,0.754721258,571.9699707,1.542739127,0.955196414,456.6400146,1.939949147,0.769924784,310.5799866,1.070642694,0.866671973,14.22000027,-14.33734976,8.309780974,262.4200134,1.355687195,1.075097789,53.56999969,1.650851839,0.868595615,88.13999939,2.03751122,0.954900898,153.1399994,1.63260342,0.727181878,233.1000061,3.036737173,1.18254831,138.1699982,0.824580369,1.111924432,0.886349154,0.707628917,0.406657288,0.083014365,0.136585517,0.237312299,0.361221749,0.214114145,0.481288044,0.167424242,-0.040292226,-0.274480544,-0.120448995,2.411623761,8.016873194,,all_etfs,1.280506134,0.974249363
8/25/2025,642.4699707,-0.440102721,0.763038358,570.3200073,-0.288470281,0.956073136,453.0700073,-0.781799056,0.792886098,309.8299866,-0.241483686,0.854018659,14.78999996,4.008436597,8.355643299,261.8299866,-0.224840647,1.060058449,53.25999832,-0.578684665,0.864078268,88.37000275,0.260952301,0.922647154,151.6100006,-0.999085011,0.755550388,232.6300049,-0.20163072,1.181725448,136.1999969,-1.425780739,1.143013621,0.887699088,0.705200286,0.407536536,0.082898814,0.137547289,0.235979902,0.36208697,0.211994339,0.482248199,0.08834442,-0.342420856,-0.824100881,0.119182029,5.086663799,16.09195484,,all_etfs,1.294650078,0.963411927
8/26/2025,645.1599731,0.418696992,0.763716612,572.6099854,0.401525108,0.95870126,454.4899902,0.313413576,0.786705326,312.0799866,0.726204724,0.865453503,14.61999989,-1.149425806,8.235993076,263.0299988,0.458317331,1.065845287,53.66999817,0.769808224,0.870065005,88.23000336,-0.158424109,0.895223414,153.1699982,1.028954259,0.752935771,233.6999969,0.459954453,1.166734512,137.0500031,0.624086727,1.138535548,0.887547289,0.704460923,0.40769733,0.083188667,0.136756784,0.237413982,0.362235735,0.212427938,0.483724967,0.115757576,-0.2200978,-0.443579066,-0.270628726,5.146125598,11.83310882,,all_etfs,1.25667119,0.956170857
8/27/2025,646.6300049,0.227855385,0.762789627,573.4899902,0.153683119,0.958800807,456.0299988,0.338843226,0.780082907,312.7099915,0.201872888,0.751293851,14.85000038,1.573190819,8.212833545,264.4500122,0.539867481,1.071898139,53.77999878,0.204957358,0.867977034,89.22000122,1.12206486,0.867855631,153.1499939,-0.013060177,0.743509028,233.75,0.021396257,1.151107015,136.9700012,-0.058374191,1.137289598,0.886890472,0.705241012,0.408966504,0.083169662,0.137976896,0.236843315,0.361489566,0.211821289,0.483599569,0.030748663,0.385071867,0.303403767,0.223667087,4.470599395,3.030301668,,all_etfs,1.317336679,0.955133617
8/28/2025,648.9199829,0.354140391,0.756396198,577.0800171,0.625996428,0.956695113,456.7900085,0.166657844,0.750623777,315.0299988,0.741903805,0.754036285,14.43000031,-2.828283269,8.019359334,266.5400085,0.79031811,1.071111308,53.84999847,0.130159346,0.850745537,89.90000153,0.762161282,0.867062946,153.4199982,0.176300544,0.744072032,234.1499939,0.171120384,1.125586707,136.4299927,-0.39425315,0.919546606,0.889293029,0.703923474,0.410744029,0.082984035,0.138537884,0.2364236,0.360830303,0.210241627,0.485468173,0.236915307,-0.258890575,-0.176755303,-0.394058162,5.08522651,5.197505088,,all_etfs,1.178291798,0.953870475
8/29/2025,645.0499878,-0.596374779,0.657164113,570.4000244,-1.157550509,0.877727352,456.0899963,-0.153245954,0.674834169,318.0700073,0.964990178,0.648023851,15.35999966,6.444901815,6.320264372,262.4500122,-1.534477454,1.009952246,53.99000168,0.259987388,0.70940599,90.38999939,0.54504767,0.728891607,152.0099945,-0.919048155,0.690588512,231.7400055,-1.029249825,0.984891664,137.4299927,0.732976657,0.92403823,0.884272592,0.707061476,0.406867711,0.083698942,0.140128674,0.235656147,0.359258987,0.213053244,0.493093579,0.022222222,0.586005638,1.484917661,0.024121526,5.266136264,-1.627604203,,all_etfs,1.247312903,0.925380886
9/2/2025,640.2700195,-0.741022921,0.608341435,565.6199951,-0.838013515,0.807338697,453.6099854,-0.543754743,0.63719118,325.5899963,2.364255931,0.812855705,17.17000008,11.78385716,6.197528211,259.7999878,-1.009725392,0.931147152,53.59000015,-0.740880744,0.719555244,90.51999664,0.143818182,0.72028442,150.5599976,-0.95388264,0.697242325,230.0099945,-0.746531003,0.994323667,137.5599976,0.094597169,0.880397586,0.883408527,0.708466696,0.405766286,0.083699062,0.141377847,0.235150785,0.359239051,0.214846851,0.508519822,0.045486111,1.571211716,2.632512071,0.970001666,2.601431652,-12.40535879,,all_etfs,1.164824605,0.912476718
9/3/2025,643.7399902,0.541954269,0.600844918,570.0700073,0.786749451,0.807406588,453.2600098,-0.077153413,0.635632451,328.1400146,0.78319922,0.82101332,16.35000038,-4.775769896,6.274284788,261.3500061,0.596619855,0.922462864,53.5,-0.167942064,0.711654933,88.48999786,-2.242597055,0.917182294,149.8000031,-0.504778506,0.704694028,230.9400024,0.404333706,0.99433269,136.9100037,-0.472516653,0.883575453,0.885559412,0.704104167,0.405986905,0.083108088,0.137462328,0.232702652,0.35874733,0.212679041,0.509739988,-0.027575758,1.315753544,1.864684117,0.589062095,2.169803986,-6.116207808,,all_etfs,1.186398745,0.906040311
9/4/2025,649.1199951,0.835741909,0.604946061,575.2299805,0.905147276,0.784029451,457.0499878,0.836159808,0.654427907,326.6900024,-0.441888262,0.829665239,15.30000019,-6.422019365,6.292897694,262.6400146,0.493594228,0.893179675,54.06000137,1.046731539,0.735310602,89.08000183,0.666746504,0.885249651,151.4900055,1.128172501,0.750868243,235.1600037,1.827314963,0.971650135,137.4299927,0.37980352,0.791879517,0.886168944,0.704107085,0.404609343,0.083281985,0.137231949,0.233377506,0.362275088,0.211717392,0.503281373,0.081377551,1.311007184,1.538521447,1.065534573,2.470233942,-3.8562101,,all_etfs,1.21754849,0.906798959
9/5/2025,647.2399902,-0.289623628,0.610487823,576.0599976,0.144293086,0.781757984,454.9899902,-0.45071603,0.651349647,331.0499878,1.334594055,0.8547906,15.18000031,-0.784312968,6.290393603,262.8599854,0.08375369,0.893139197,53.06999969,-1.831301615,0.815737575,87.36000061,-1.930850006,1.003501789,150.9299927,-0.369669811,0.755145642,235.1100006,-0.021263417,0.971493929,137.8999939,0.341993193,0.718873603,0.890025348,0.702969528,0.40612445,0.081994315,0.13497312,0.233190154,0.363250115,0.213058519,0.511479502,0.111647727,,,,,,,all_etfs,1.18508184,0.893129647
9/8/2025,648.8300171,0.245662641,0.591447422,578.8699951,0.487795988,0.761758653,456.2000122,0.265944746,0.647299604,334.8200073,1.138806727,0.872267029,15.10999966,-0.461137333,5.979228391,264.8299866,0.749448882,0.8800368,53.11000061,0.075373876,0.795518912,87.16000366,-0.228934234,1.001252663,151.2700043,0.225277687,0.756553546,236.0200043,0.387054425,0.971667386,137.8500061,-0.036249308,0.711049547,0.892175115,0.703111755,0.408165436,0.08185503,0.134334111,0.233142734,0.363762462,0.212459354,0.516036556,-0.031944444,,,,,,,all_etfs,1.121075988,0.88608259
9/9/2025,650.3300171,0.231185358,0.588144379,580.5100098,0.283313121,0.759314375,458.0100098,0.396755263,0.633501334,334.0599976,-0.226990547,0.779480224,15.03999996,-0.463267349,5.741182479,265.3399963,0.192580067,0.867095127,53.34000015,0.433062586,0.797461246,87.58000183,0.481870297,0.979034116,150.25,-0.674293808,0.768806036,235.6900024,-0.139819433,0.976010495,138.5899963,0.536808271,0.711618479,0.892639113,0.704273212,0.408008226,0.082019896,0.13467009,0.231036545,0.362415998,0.213107181,0.513677654,0.065726228,,,,,,,all_etfs,1.095820308,0.877970695
9/10/2025,652.210022,0.289084747,0.546225863,580.7000122,0.032730261,0.706003445,455.9299927,-0.454142278,0.616146544,335.2600098,0.359220564,0.77099223,15.35000038,2.061173008,5.339317725,270.1499939,1.812767628,0.893126512,53.15999985,-0.337458389,0.762767314,89.11000061,1.746972765,1.037374278,151.3600006,0.738769125,0.750251873,232.8699951,-1.196490006,1.007459462,137.3300018,-0.909152565,0.755342274,0.890357389,0.699053951,0.414207057,0.081507487,0.13662777,0.232072485,0.357047557,0.210561011,0.514036888,-0.002180536,,,,,,,all_etfs,1.064402938,0.879956365
9/11/2025,657.6300049,0.831018035,0.569260626,584.0800171,0.582056968,0.71759958,461.9200134,1.313802743,0.638070648,334.7600098,-0.149137978,0.781279301,14.71000004,-4.169383241,5.418372322,271.0599976,0.336851261,0.895590074,54.02999878,1.636566844,0.833573142,89.12999725,0.022440403,1.016619007,152.8000031,0.951375816,0.776463771,237.3999939,1.945290881,1.051622149,139.7200012,1.740333036,0.769178523,0.888159015,0.702401061,0.412177053,0.082158658,0.135532133,0.2323495,0.360993252,0.212459894,0.509040049,0.012698413,,,,,,,all_etfs,1.029534936,0.861738026
